Year,Large,Mini,Diesel,Exports,Imports
2014-01-01,1086.2,7.62,7.62,151.61,1.04
2014-02-01,1070.6,8.59,8.59,159.28,0.95
2014-03-01,1172.8,9.61,9.61,160.58,1.08
2014-04-01,1112.6,9.85,9.85,114.67,1.05
2014-05-01,1128.2,10.35,10.35,60.41,1.12
2014-06-01,1146.1,9.87,9.87,68.68,1.04
2014-07-01,1189.3,8.84,8.84,102.14,1.19
2014-08-01,1175.8,9.46,9.46,97.02,1.14
2014-09-01,1130.2,9.41,9.41,94.06,1.11
2014-10-01,1124.0,5.67,5.67,80.81,1.12
2014-11-01,1136.1,8.44,8.44,89.61,1.0
2014-12-01,1165.3,9.38,9.38,77.38,1.01
2015-01-01,1166.2,9.86,9.86,111.3,0.8
2015-02-01,1077.1,8.82,8.82,128.7,1.0
2015-03-01,1243.1,9.95,9.95,138.4,2.6
2015-04-01,1101.7,11.66,11.66,99.5,30.9
2015-05-01,1216.2,12.08,12.08,110.5,26.6
2015-06-01,1183.7,11.85,11.85,103.5,18.6
2015-07-01,1109.3,10.84,10.84,103.1,64.7
2015-08-01,1099.3,10.54,10.54,96.5,72.8
2015-09-01,951.82,9.35,9.35,86.4,120.3
2015-10-01,903.17,8.73,8.73,84.7,132.6
2015-11-01,823.89,11.15,11.15,58.9,157.3
2015-12-01,821.08,6.7,6.7,54.4,157.2
2016-01-01,795.0,13.4,13.4,68.6,209.0
2016-02-01,734.0,13.8,13.8,62.6,170.9
2016-03-01,832.0,13.1,13.1,60.6,176.6
2016-04-01,824.0,14.9,14.9,58.6,156.6
2016-05-01,879.0,16.1,16.1,56.6,159.0
2016-06-01,875.0,13.4,13.4,61.2,198.2
2016-07-01,956.0,10.3,10.3,54.5,187.1
2016-08-01,875.0,7.7,7.7,71.5,237.1
2016-09-01,894.0,5.2,5.2,73.4,158.5
2016-10-01,883.0,4.1,4.1,96.4,169.8
2016-11-01,825.0,4.3,4.3,68.7,173.3
2016-12-01,872.0,5.2,5.2,61.5,188.9
2017-01-01,866.8,9.62,1.32,64.4,114.64
2017-02-01,870.6,8.48,1.06,67.96,65.22
2017-03-01,923.1,9.64,1.06,91.11,56.29
2017-04-01,981.7,9.79,1.09,111.05,41.44
2017-05-01,957.9,10.8,0.93,122.03,58.1
2017-06-01,893.1,9.63,0.73,97.56,58.82
2017-07-01,1012.0,11.1,0.59,89.23,60.37
2017-08-01,939.7,9.87,0.52,76.91,57.65
2017-09-01,974.0,6.24,0.36,83.65,63.19
2017-10-01,1010.0,4.31,0.4,85.73,64.4
2017-11-01,957.3,6.64,0.37,87.07,58.8
2017-12-01,946.1,14.5,0.37,86.22,54.02
2018-01-01,928.4,20.8,0.39,92.55,61.67
2018-02-01,779.1,18.8,0.34,63.67,55.97
2018-03-01,960.5,24.5,0.38,77.61,22.13
2018-04-01,1005.0,23.8,0.36,130.58,0.86
2018-05-01,1056.0,23.5,0.38,97.22,1.01
2018-06-01,1076.0,21.2,0.37,93.39,1.35
2018-07-01,1159.0,17.9,0.35,143.73,0.64
2018-08-01,1163.0,15.4,0.35,128.87,1.23
2018-09-01,1092.0,12.7,0.4,124.09,1.86
2018-10-01,1056.0,6.61,0.41,104.73,2.84
2018-11-01,1068.0,9.46,0.39,83.23,1.04
2018-12-01,1110.0,12.7,0.41,85.81,1.63
2019-01-01,1040.0,16.3,0.41,81.84,1.28
2019-02-01,948.7,17.3,0.39,86.26,1.19
2019-03-01,1004.0,19.6,0.46,87.17,1.24
2019-04-01,959.2,20.6,0.42,57.16,1.38
2019-05-01,958.2,19.2,0.41,49.16,1.56
2019-06-01,917.2,15.2,0.4,81.99,10.6
2019-07-01,1010.0,12.0,0.41,88.54,22.33
2019-08-01,976.0,11.9,0.42,80.35,24.79
2019-09-01,843.2,10.4,0.43,78.0,25.25
2019-10-01,860.4,6.68,0.4,91.58,1.38
2019-11-01,862.3,5.31,0.46,93.95,20.23
2019-12-01,891.5,13.8,0.55,99.56,86.93
2020-01-01,844.875,18.055,0.5,84.047,62.879
2020-02-01,819.898,18.785,0.442,80.924,46.661
2020-03-01,937.236,26.1,0.497,114.342,5.209
2020-04-01,941.172,22.214,0.453,110.165,2.283
2020-05-01,987.414,24.004,0.953,119.702,1.383
2020-06-01,951.278,19.316,0.113,110.222,1.431
2020-07-01,941.994,17.527,0.11,116.09,1.478
2020-08-01,1115.419,14.739,0.108,119.953,1.475
2020-09-01,1020.031,11.148,0.115,117.128,1.411
2020-10-01,1035.15,10.157,0.14,118.254,1.366
2020-11-01,988.941,7.771,0.121,120.596,3.103
2020-12-01,1132.199,15.384,0.134,128.11,1.258
2021-01-01,1091.7,25.277,0.183,148.756,1.236
2021-02-01,1069.096,27.952,0.119,153.948,1.147
2021-03-01,1220.597,28.653,0.112,169.695,1.64
2021-04-01,1220.374,26.718,0.086,167.29,1.411
2021-05-01,1240.378,24.115,0.114,172.96,1.498
2021-06-01,1220.138,19.774,0.104,198.148,1.531
2021-07-01,1249.697,17.159,0.137,187.173,1.509
2021-08-01,1266.509,14.793,0.128,188.997,1.592
2021-09-01,1250.126,12.316,0.127,192.348,1.527
2021-10-01,1302.551,10.296,0.129,204.752,1.635
2021-11-01,1256.378,6.704,0.117,184.273,1.501
2021-12-01,1281.364,6.814,0.124,183.681,1.466
