Year,Exports,Imports
2014-01-01,151.61,1.04
2014-02-01,159.28,0.95
2014-03-01,160.58,1.08
2014-04-01,114.67,1.05
2014-05-01,60.41,1.12
2014-06-01,68.68,1.04
2014-07-01,102.14,1.19
2014-08-01,97.02,1.14
2014-09-01,94.06,1.11
2014-10-01,80.81,1.12
2014-11-01,89.61,1.0
2014-12-01,77.38,1.01
2015-01-01,111.3,0.8
2015-02-01,128.7,1.0
2015-03-01,138.4,2.6
2015-04-01,99.5,30.9
2015-05-01,110.5,26.6
2015-06-01,103.5,18.6
2015-07-01,103.1,64.7
2015-08-01,96.5,72.8
2015-09-01,86.4,120.3
2015-10-01,84.7,132.6
2015-11-01,58.9,157.3
2015-12-01,54.4,157.2
2016-01-01,68.6,209.0
2016-02-01,62.6,170.9
2016-03-01,60.6,176.6
2016-04-01,58.6,156.6
2016-05-01,56.6,159.0
2016-06-01,61.2,198.2
2016-07-01,54.5,187.1
2016-08-01,71.5,237.1
2016-09-01,73.4,158.5
2016-10-01,96.4,169.8
2016-11-01,68.7,173.3
2016-12-01,61.5,188.9
2017-01-01,64.4,114.64
2017-02-01,67.96,65.22
2017-03-01,91.11,56.29
2017-04-01,111.05,41.44
2017-05-01,122.03,58.1
2017-06-01,97.56,58.82
2017-07-01,89.23,60.37
2017-08-01,76.91,57.65
2017-09-01,83.65,63.19
2017-10-01,85.73,64.4
2017-11-01,87.07,58.8
2017-12-01,86.22,54.02
2018-01-01,92.55,61.67
2018-02-01,63.67,55.97
2018-03-01,77.61,22.13
2018-04-01,130.58,0.86
2018-05-01,97.22,1.01
2018-06-01,93.39,1.35
2018-07-01,143.73,0.64
2018-08-01,128.87,1.23
2018-09-01,124.09,1.86
2018-10-01,104.73,2.84
2018-11-01,83.23,1.04
2018-12-01,85.81,1.63
2019-01-01,81.84,1.28
2019-02-01,86.26,1.19
2019-03-01,87.17,1.24
2019-04-01,57.16,1.38
2019-05-01,49.16,1.56
2019-06-01,81.99,10.6
2019-07-01,88.54,22.33
2019-08-01,80.35,24.79
2019-09-01,78.0,25.25
2019-10-01,91.58,1.38
2019-11-01,93.95,20.23
2019-12-01,99.56,86.93
2020-01-01,84.047,62.879
2020-02-01,80.924,46.661
2020-03-01,114.342,5.209
2020-04-01,110.165,2.283
2020-05-01,119.702,1.383
2020-06-01,110.222,1.431
2020-07-01,116.09,1.478
2020-08-01,119.953,1.475
2020-09-01,117.128,1.411
2020-10-01,118.254,1.366
2020-11-01,120.596,3.103
2020-12-01,128.11,1.258
2021-01-01,148.756,1.236
2021-02-01,153.948,1.147
2021-03-01,169.695,1.64
2021-04-01,167.29,1.411
2021-05-01,172.96,1.498
2021-06-01,198.148,1.531
2021-07-01,187.173,1.509
2021-08-01,188.997,1.592
2021-09-01,192.348,1.527
2021-10-01,204.752,1.635
2021-11-01,184.273,1.501
2021-12-01,183.681,1.466
